Kích thước,DFS Backtracker (s),Prim (s)
10,0.0009926795959472657,0.00162200927734375
20,0.008929300308227538,0.010421657562255859
50,0.048261594772338864,0.1755066394805908
100,0.8912564754486084,2.3184628009796144
