Maze Size,DFS Time,BFS Time,A* Time
15,0.0007693767547607422,0.0013692378997802734,0.0014824867248535156
15,0.0005474090576171875,0.0015444755554199219,0.0007309913635253906
15,0.0009379386901855469,0.0009996891021728516,0.0006709098815917969
15,0.0008578300476074219,0.0010693073272705078,0.0013349056243896484
15,0.0005843639373779297,0.0009055137634277344,0.000881195068359375
15,0.0005924701690673828,0.0008957386016845703,0.0007219314575195312
15,0.0009241104125976562,0.0016219615936279297,0.0018305778503417969
15,0.0006365776062011719,0.0015876293182373047,0.000545501708984375
15,0.0006229877471923828,0.0011227130889892578,0.0011129379272460938
15,0.0009963512420654297,0.0013854503631591797,0.0016427040100097656
15,0.0008518695831298828,0.0011272430419921875,0.000980377197265625
15,0.0006701946258544922,0.0014595985412597656,0.0013165473937988281
15,0.0004973411560058594,0.0016827583312988281,0.0009257793426513672
15,0.0005888938903808594,0.0014896392822265625,0.0019893646240234375
15,0.0008783340454101562,0.0010173320770263672,0.0008292198181152344
15,0.00042724609375,0.001207113265991211,0.0009207725524902344
15,0.0006914138793945312,0.0010340213775634766,0.0008099079132080078
15,0.0004973411560058594,0.0011322498321533203,0.0013055801391601562
15,0.0005266666412353516,0.0009872913360595703,0.0008807182312011719
15,0.0004775524139404297,0.0011360645294189453,0.0010521411895751953
15,0.0007028579711914062,0.0012619495391845703,0.0004947185516357422
15,0.0006792545318603516,0.0014722347259521484,0.0012867450714111328
15,0.0009140968322753906,0.0013401508331298828,0.0008654594421386719
15,0.0011625289916992188,0.0014057159423828125,0.0011794567108154297
15,0.0004658699035644531,0.0010416507720947266,0.0009942054748535156
15,0.0007343292236328125,0.001354217529296875,0.0007002353668212891
15,0.0005207061767578125,0.001447916030883789,0.0016565322875976562
15,0.0008177757263183594,0.0013430118560791016,0.0011730194091796875
15,0.0005497932434082031,0.0012903213500976562,0.0007569789886474609
15,0.0005586147308349609,0.0011057853698730469,0.001085042953491211
15,0.0005006790161132812,0.0011377334594726562,0.0010342597961425781
15,0.0005414485931396484,0.0010907649993896484,0.001222848892211914
15,0.0007476806640625,0.001649618148803711,0.0007219314575195312
15,0.0007250308990478516,0.0011022090911865234,0.0011098384857177734
15,0.0010960102081298828,0.0014796257019042969,0.001312255859375
15,0.0005919933319091797,0.0015437602996826172,0.0011060237884521484
15,0.0004975795745849609,0.0012311935424804688,0.0011754035949707031
15,0.0005719661712646484,0.0010912418365478516,0.0015044212341308594
15,0.0006654262542724609,0.001275777816772461,0.001241922378540039
15,0.0007081031799316406,0.0012676715850830078,0.0010905265808105469
15,0.000995635986328125,0.0013270378112792969,0.0010819435119628906
15,0.0004980564117431641,0.0008814334869384766,0.0006077289581298828
15,0.0005552768707275391,0.0011227130889892578,0.0014503002166748047
15,0.0007596015930175781,0.0013489723205566406,0.0016105175018310547
15,0.0005164146423339844,0.0007317066192626953,0.0005838871002197266
15,0.0007295608520507812,0.0011234283447265625,0.0008943080902099609
15,0.0007359981536865234,0.0012793540954589844,0.0007729530334472656
15,0.0009415149688720703,0.0009477138519287109,0.0007176399230957031
15,0.0007405281066894531,0.001588582992553711,0.0008425712585449219
