Maze Size,DFS Length,BFS Length,A* Length
15,69,65,65
15,77,61,61
15,93,61,61
15,77,57,57
15,61,61,61
25,197,113,113
25,249,105,105
25,253,105,105
25,177,105,105
25,153,105,105
50,429,209,209
50,465,229,229
50,905,209,209
50,389,205,205
50,1053,233,233
