Maze Size,DFS Time,BFS Time,A* Time
15,0.0004100799560546875,0.0007321834564208984,0.0007252693176269531
15,0.0004127025604248047,0.001094818115234375,0.0007638931274414062
15,0.0007076263427734375,0.0017001628875732422,0.0012280941009521484
15,0.0007331371307373047,0.0010225772857666016,0.0007429122924804688
15,0.0007715225219726562,0.001117706298828125,0.001377105712890625
25,0.0013232231140136719,0.003618955612182617,0.0020875930786132812
25,0.0014111995697021484,0.0035619735717773438,0.003589630126953125
25,0.001894235610961914,0.00482940673828125,0.005296230316162109
25,0.001459360122680664,0.0035233497619628906,0.003385305404663086
25,0.001363992691040039,0.002747058868408203,0.002127408981323242
50,0.004952907562255859,0.02137923240661621,0.015101909637451172
50,0.005563259124755859,0.022716283798217773,0.015006065368652344
50,0.007610321044921875,0.018257617950439453,0.008996009826660156
50,0.004197597503662109,0.040256500244140625,0.0077970027923583984
50,0.009228706359863281,0.015980005264282227,0.0208587646484375
