Maze Size,DFS Cells,BFS Cells,A* Cells
15,138,279,144
15,133,406,157
15,273,458,177
15,259,417,117
15,290,453,253
25,456,1272,400
25,482,1280,665
25,709,1280,835
25,582,1278,616
25,477,944,405
50,1349,5124,1469
50,1784,5036,1825
50,2629,5116,1388
50,1730,5122,1260
50,3232,5084,3089
